sep=,
Bridge name,Condition,Length (m),Width (m),Findings on concrete,Google maps url,Beheerder contact,Beheerder Vlaamse overheid,Tags
Waggelwaterbrug,toestand 3: matig,121,16.8,106,"https://www.google.com/maps/@51.2172494259,3.2009654013,250m",Agentschap Wegen en verkeer: Thomas Plumet,Agentschap Wegen en Verkeer - Afdeling Wegen en Verkeer West-Vlaanderen,""
Krommebrug voor plaatselijk verkeer,toestand 3: matig,121,14,26,"https://www.google.com/maps/@50.9892700211,3.524381306,250m",De Vlaamse Waterweg - regio West: Lieve De Porre,De Vlaamse Waterweg nv - Afdeling Regio West,""
Beekstraatbrug W3,toestand 3: matig,120.64,13.56,63,"https://www.google.com/maps/@51.0713070649,3.6576942973,250m",De Vlaamse Waterweg - regio West: Lieve De Porre,De Vlaamse Waterweg nv - Afdeling Regio West,""
Brug LE11 in wegomleiding Menen-Halluin,toestand 3: matig,120,33.7,56,"https://www.google.com/maps/@50.794509224,3.1373037185,250m",De Vlaamse Waterweg - regio West: Lieve De Porre,De Vlaamse Waterweg nv - Afdeling Regio West,""
Schipdonkbrug in de gemeenteweg Leikanttragel,toestand 3: matig,120,17.6,22,"https://www.google.com/maps/@51.09170585585317,3.563916154351263,250m",De Vlaamse Waterweg - regio West: Lieve De Porre,De Vlaamse Waterweg nv - Afdeling Regio West,""
Landegembrug,toestand 3: matig,120,13.6,8,"https://www.google.com/maps/@51.0570897279,3.5685039102,250m",De Vlaamse Waterweg - regio West: Lieve De Porre,De Vlaamse Waterweg nv - Afdeling Regio West,""
Gaverebrug in N439  Scheldebrug Gavere,toestand 3: matig,118.6,18.7,23,"https://www.google.com/maps/@50.929816115,3.653890362,250m",De Vlaamse Waterweg - regio West: Lieve De Porre,De Vlaamse Waterweg nv - Afdeling Regio West,""
Machelenbrug,toestand 3: matig,117,13.8,46,"https://www.google.com/maps/@50.9646952497256,3.478803951990743,250m",De Vlaamse Waterweg - regio West: Lieve De Porre,De Vlaamse Waterweg nv - Afdeling Regio West,""
Brug Bree,toestand 3: matig,114.72,31.7,52,"https://www.google.com/maps/@51.141335776,5.6216094257,250m",Agentschap Wegen en verkeer: Thomas Plumet,Agentschap Wegen en Verkeer - Afdeling Wegen en Verkeer Limburg,""
Brug over Kanaal Van Beverlo,toestand 3: matig,114.4,31.45,34,"https://www.google.com/maps/@51.2125090303,5.2370076791,250m",Agentschap Wegen en verkeer: Thomas Plumet,Agentschap Wegen en Verkeer - Afdeling Wegen en Verkeer Limburg,""
Hutsepotbrug wegbrug W9,toestand 3: matig,113,17.14,127,"https://www.google.com/maps/@51.0168868252,3.7089417133,250m",De Vlaamse Waterweg - regio West: Lieve De Porre,De Vlaamse Waterweg nv - Afdeling Regio West,""
Brug Maasmechelen aan Dokter Haubenlaan,toestand 3: matig,112.46,13,50,"https://www.google.com/maps/@50.9590821286,5.7091256075,250m",Agentschap Wegen en verkeer: Thomas Plumet,Agentschap Wegen en Verkeer - Afdeling Wegen en Verkeer Limburg,""
Scheldebrug,toestand 3: matig,112,32,79,"https://www.google.com/maps/@50.8369886832,3.598724957,250m",Agentschap Wegen en verkeer: Thomas Plumet,Agentschap Wegen en Verkeer - Afdeling Wegen en Verkeer Oost-Vlaanderen,""
Lotharingenbrug,toestand 3: matig,110,12,27,"https://www.google.com/maps/@50.8585225461,3.6256718325,250m",De Vlaamse Waterweg - regio West: Lieve De Porre,De Vlaamse Waterweg nv - Afdeling Regio West,""
Sint Denijsbrug Moen,toestand 3: matig,110,13.6,16,"https://www.google.com/maps/@50.7658942729,3.3966884766,250m",De Vlaamse Waterweg - regio West: Lieve De Porre,De Vlaamse Waterweg nv - Afdeling Regio West,""
Industriebrug,toestand 3: matig,109.72,33,26,"https://www.google.com/maps/@51.104873792,3.7202945127,250m",Agentschap Wegen en verkeer: Thomas Plumet,Agentschap Wegen en Verkeer - Afdeling Wegen en Verkeer Oost-Vlaanderen,""
Wantebrug,toestand 3: matig,109,13.7,77,"https://www.google.com/maps/@50.9129377258,3.2834915544,250m",De Vlaamse Waterweg - regio West: Lieve De Porre,De Vlaamse Waterweg nv - Afdeling Regio West,""
Destelbergenbrug 81/O Scheldebrug in E17(ex E3),toestand 3: matig,109,47.5,8,"https://www.google.com/maps/@51.0441026145,3.7921916834,250m",Agentschap Wegen en verkeer: Thomas Plumet,Agentschap Wegen en Verkeer - Afdeling Wegen en Verkeer Oost-Vlaanderen,""
Brugsevaartbrug in R4 over Kanaal Gent-Oostende,toestand 3: matig,108,32,64,"https://www.google.com/maps/@51.0844903833,3.6645302224,250m",Agentschap Wegen en verkeer: Thomas Plumet,Agentschap Wegen en Verkeer - Afdeling Wegen en Verkeer Oost-Vlaanderen,""
Brug 10 Kwaadmechelen Veldhoven,toestand 3: matig,108,13,48,"https://www.google.com/maps/@51.0992240313,5.1364057289,250m",De Vlaamse Waterweg - regio Oost: Gert Schreurs,De Vlaamse Waterweg nv - Afdeling Regio Oost,""
Brug Geel Ten Aart,toestand 3: matig,108,16.5,42,"https://www.google.com/maps/@51.2012974757,4.982374177,250m",Agentschap Wegen en verkeer: Thomas Plumet,Agentschap Wegen en Verkeer - Afdeling Wegen en Verkeer Antwerpen,""
Brug O30 Zuid Willemsvaart,toestand 3: matig,107.77,39,80,"https://www.google.com/maps/@50.9521498624,5.7099521906,250m",Agentschap Wegen en verkeer: Thomas Plumet,Agentschap Wegen en Verkeer - Afdeling Wegen en Verkeer Limburg,""
Brug Mol Donk,toestand 3: matig,105.2,20.4,88,"https://www.google.com/maps/@51.2253683733,5.115250624,250m",De Vlaamse Waterweg - regio Oost: Gert Schreurs,De Vlaamse Waterweg nv - Afdeling Regio Oost,""
Kappebrug (W20) Zwijnaardsesteenweg,toestand 3: matig,104.28,18.7,12,"https://www.google.com/maps/@51.0015491526,3.726524372,250m",De Vlaamse Waterweg - regio Centraal: Arn Bormans,De Vlaamse Waterweg nv - Afdeling Regio Centraal,""
Waalbrug W17 in N456 over Ringvaart om Gent,toestand 3: matig,104,19,64,"https://www.google.com/maps/@51.1041195268,3.710695818,250m",De Vlaamse Waterweg - regio West: Lieve De Porre,De Vlaamse Waterweg nv - Afdeling Regio West,""
Eversteinbrug W18,toestand 3: matig,104,12.76,23,"https://www.google.com/maps/@51.102083387364914,3.7306548835611153,250m",De Vlaamse Waterweg - regio West: Lieve De Porre,De Vlaamse Waterweg nv - Afdeling Regio West,""
Brug Rotem,toestand 3: matig,102,13,130,"https://www.google.com/maps/@51.0576089782,5.7004513648,250m",De Vlaamse Waterweg - regio Oost: Gert Schreurs,De Vlaamse Waterweg nv - Afdeling Regio Oost,""
Beneluxbrug / Brug Van Stasegem,toestand 3: matig,102,14.6,80,"https://www.google.com/maps/@50.8278387877,3.3235682125,250m",De Vlaamse Waterweg - regio West: Lieve De Porre,De Vlaamse Waterweg nv - Afdeling Regio West,""
Vaste brug in Spiere,toestand 3: matig,101.2,14.8,27,"https://www.google.com/maps/@50.7161010134,3.3559672039,250m",De Vlaamse Waterweg - regio West: Lieve De Porre,De Vlaamse Waterweg nv - Afdeling Regio West,""
